19 de septiembre 2020,18,16,"9,1 mm",Ligeras precipitaciones,16 Km/h,A Coruña
19 de septiembre 2019,23,16,"0,8 mm",Despejado,9 Km/h,A Coruña
20 de septiembre 2023,20,15,"12,0 mm",Ligeras lluvias,36 Km/h,A Coruña
20 de septiembre 2022,24,15,0 mm,Parcialmente nublado,23 Km/h,A Coruña
20 de septiembre 2021,19,14,"0,5 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
20 de septiembre 2020,21,16,"2,6 mm",Ligeras precipitaciones,10 Km/h,A Coruña
20 de septiembre 2019,20,16,"1,3 mm",Ligeras precipitaciones,9 Km/h,A Coruña
21 de septiembre 2023,18,14,"7,4 mm",Ligeras precipitaciones,29 Km/h,A Coruña
21 de septiembre 2022,25,14,0 mm,Despejado,22 Km/h,A Coruña
21 de septiembre 2021,21,14,0 mm,Parcialmente nublado,30 Km/h,A Coruña
21 de septiembre 2020,19,16,"6,1 mm",Ligeras precipitaciones,6 Km/h,A Coruña
21 de septiembre 2019,18,16,"8,8 mm",Periodos de lluvia moderada,20 Km/h,A Coruña
22 de septiembre 2023,18,14,"3,2 mm",Ligeras precipitaciones,20 Km/h,A Coruña
22 de septiembre 2022,22,15,0 mm,Parcialmente nublado,15 Km/h,A Coruña
22 de septiembre 2021,23,15,0 mm,Parcialmente nublado,28 Km/h,A Coruña
22 de septiembre 2020,20,14,"1,4 mm",Parcialmente nublado,10 Km/h,A Coruña
22 de septiembre 2019,18,15,"3,8 mm",Ligeras precipitaciones,25 Km/h,A Coruña
23 de septiembre 2023,19,12,0 mm,Despejado,11 Km/h,A Coruña
23 de septiembre 2022,20,16,0 mm,Parcialmente nublado,17 Km/h,A Coruña
23 de septiembre 2021,23,16,0 mm,Parcialmente nublado,31 Km/h,A Coruña
23 de septiembre 2020,18,15,"12,4 mm",Lluvias fuertes o moderadas,16 Km/h,A Coruña
23 de septiembre 2019,18,15,"15,4 mm",Fuertes lluvias,27 Km/h,A Coruña
24 de septiembre 2023,22,13,"0,1 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
24 de septiembre 2022,18,14,"0,5 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
24 de septiembre 2021,20,16,"0,4 mm",Cielo cubierto,23 Km/h,A Coruña
24 de septiembre 2020,16,13,"5,4 mm",Ligeras precipitaciones,29 Km/h,A Coruña
24 de septiembre 2019,18,15,"18,2 mm",Periodos de lluvia moderada,24 Km/h,A Coruña
25 de septiembre 2023,21,17,"0,4 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
25 de septiembre 2022,18,14,"0,7 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
25 de septiembre 2021,19,15,"1,4 mm",Ligeras precipitaciones,11 Km/h,A Coruña
25 de septiembre 2020,15,12,4 mm,Ligeras precipitaciones,22 Km/h,A Coruña
25 de septiembre 2019,18,14,"0,9 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
26 de septiembre 2023,20,15,"0,0 mm",Parcialmente nublado,10 Km/h,A Coruña
26 de septiembre 2022,18,12,"0,1 mm",Nublado,15 Km/h,A Coruña
26 de septiembre 2021,20,15,0 mm,Nublado,23 Km/h,A Coruña
26 de septiembre 2020,16,12,"4,4 mm",Ligeras precipitaciones,19 Km/h,A Coruña
26 de septiembre 2019,18,15,"0,2 mm",Cielo cubierto,19 Km/h,A Coruña
27 de septiembre 2023,21,15,"0,2 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
27 de septiembre 2022,17,15,"0,8 mm",Ligeras precipitaciones,15 Km/h,A Coruña
27 de septiembre 2021,18,15,"2,1 mm",Ligeras precipitaciones,24 Km/h,A Coruña
27 de septiembre 2020,17,14,"6,8 mm",Ligeras precipitaciones,16 Km/h,A Coruña
27 de septiembre 2019,17,15,"3,4 mm",Ligeras precipitaciones,17 Km/h,A Coruña
28 de septiembre 2023,23,17,"0,4 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
28 de septiembre 2022,18,15,"1,4 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
28 de septiembre 2021,18,13,0 mm,Parcialmente nublado,9 Km/h,A Coruña
28 de septiembre 2020,17,11,0 mm,Cielo cubierto,18 Km/h,A Coruña
28 de septiembre 2019,18,12,0 mm,Parcialmente nublado,14 Km/h,A Coruña
29 de septiembre 2023,20,16,"0,0 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
29 de septiembre 2022,17,14,"4,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
29 de septiembre 2021,19,13,0 mm,Cielo cubierto,14 Km/h,A Coruña
29 de septiembre 2020,18,13,0 mm,Parcialmente nublado,9 Km/h,A Coruña
29 de septiembre 2019,18,15,"3,2 mm",Ligeras lluvias,22 Km/h,A Coruña
30 de septiembre 2023,25,17,0 mm,Despejado,10 Km/h,A Coruña
30 de septiembre 2022,17,14,"0,8 mm",Ligeras precipitaciones,12 Km/h,A Coruña
30 de septiembre 2021,20,12,0 mm,Parcialmente nublado,18 Km/h,A Coruña
30 de septiembre 2020,18,11,"3,8 mm",Ligeras precipitaciones,22 Km/h,A Coruña
30 de septiembre 2019,21,17,"0,7 mm",Neblina,18 Km/h,A Coruña
1 de octubre 2023,24,18,0 mm,Despejado,10 Km/h,A Coruña
1 de octubre 2022,20,14,0 mm,Cielo cubierto,14 Km/h,A Coruña
1 de octubre 2021,19,14,"0,5 mm",Ligeras precipitaciones,15 Km/h,A Coruña
1 de octubre 2020,16,12,"6,7 mm",Ligeras precipitaciones,37 Km/h,A Coruña
1 de octubre 2019,17,14,"2,7 mm",Ligeras precipitaciones,20 Km/h,A Coruña
2 de octubre 2023,23,17,"0,2 mm",Cielo cubierto,20 Km/h,A Coruña
2 de octubre 2022,19,14,0 mm,Cielo cubierto,13 Km/h,A Coruña
2 de octubre 2021,19,16,"2,4 mm",Ligeras precipitaciones,37 Km/h,A Coruña
2 de octubre 2020,13,10,"48,4 mm",Lluvias fuertes o moderadas,38 Km/h,A Coruña
2 de octubre 2019,18,15,"1,2 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
3 de octubre 2023,19,15,"1,7 mm",Ligeras precipitaciones,27 Km/h,A Coruña
3 de octubre 2022,22,14,0 mm,Despejado,9 Km/h,A Coruña
3 de octubre 2021,17,12,"7,4 mm",Ligeras precipitaciones,21 Km/h,A Coruña
3 de octubre 2020,15,10,"9,8 mm",Ligeras precipitaciones,33 Km/h,A Coruña
3 de octubre 2019,19,13,"0,3 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
4 de octubre 2023,22,14,0 mm,Parcialmente nublado,19 Km/h,A Coruña
4 de octubre 2022,21,14,0 mm,Despejado,8 Km/h,A Coruña
4 de octubre 2021,17,12,"1,2 mm",Ligeras precipitaciones,29 Km/h,A Coruña
4 de octubre 2020,15,13,"11,2 mm",Ligeras precipitaciones,29 Km/h,A Coruña
4 de octubre 2019,19,16,"0,1 mm",Parcialmente nublado,10 Km/h,A Coruña
5 de octubre 2023,22,16,0 mm,Despejado,9 Km/h,A Coruña
5 de octubre 2022,21,14,"0,4 mm",Llovizna,25 Km/h,A Coruña
5 de octubre 2021,16,13,"2,5 mm",Ligeras precipitaciones,31 Km/h,A Coruña
5 de octubre 2020,16,12,"3,2 mm",Ligeras precipitaciones,19 Km/h,A Coruña
5 de octubre 2019,19,13,0 mm,Cielo cubierto,8 Km/h,A Coruña
6 de octubre 2023,23,15,0 mm,Parcialmente nublado,9 Km/h,A Coruña
6 de octubre 2022,21,15,0 mm,Cielo cubierto,27 Km/h,A Coruña
6 de octubre 2021,21,12,0 mm,Parcialmente nublado,15 Km/h,A Coruña
6 de octubre 2020,18,14,"3,5 mm",Ligeras precipitaciones,19 Km/h,A Coruña
6 de octubre 2019,18,15,"0,4 mm",Nublado,14 Km/h,A Coruña
7 de octubre 2023,27,18,0 mm,Despejado,12 Km/h,A Coruña
7 de octubre 2022,18,14,0 mm,Nublado,27 Km/h,A Coruña
7 de octubre 2021,20,13,0 mm,Parcialmente nublado,9 Km/h,A Coruña
7 de octubre 2020,19,15,"2,1 mm",Ligeras precipitaciones,12 Km/h,A Coruña
7 de octubre 2019,20,15,0 mm,Parcialmente nublado,6 Km/h,A Coruña
8 de octubre 2023,26,18,0 mm,Despejado,10 Km/h,A Coruña
8 de octubre 2022,23,15,0 mm,Parcialmente nublado,23 Km/h,A Coruña
8 de octubre 2021,22,15,0 mm,Parcialmente nublado,7 Km/h,A Coruña
8 de octubre 2020,18,14,0 mm,Parcialmente nublado,6 Km/h,A Coruña
8 de octubre 2019,18,14,"4,1 mm",Ligeras lluvias,13 Km/h,A Coruña
9 de octubre 2023,24,17,0 mm,Parcialmente nublado,7 Km/h,A Coruña
9 de octubre 2022,19,15,0 mm,Parcialmente nublado,10 Km/h,A Coruña
9 de octubre 2021,20,14,0 mm,Parcialmente nublado,25 Km/h,A Coruña
9 de octubre 2020,17,14,"0,7 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
9 de octubre 2019,17,14,"0,9 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
10 de octubre 2023,24,17,0 mm,Parcialmente nublado,8 Km/h,A Coruña
10 de octubre 2022,17,13,"3,9 mm",Ligeras precipitaciones,18 Km/h,A Coruña
10 de octubre 2021,21,14,0 mm,Parcialmente nublado,29 Km/h,A Coruña
10 de octubre 2020,16,13,"0,2 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
10 de octubre 2019,19,13,0 mm,Parcialmente nublado,14 Km/h,A Coruña
11 de octubre 2023,24,17,0 mm,Parcialmente nublado,11 Km/h,A Coruña
11 de octubre 2022,21,14,0 mm,Neblina,23 Km/h,A Coruña
11 de octubre 2021,22,13,0 mm,Parcialmente nublado,20 Km/h,A Coruña
11 de octubre 2020,15,12,0 mm,Nublado,25 Km/h,A Coruña
11 de octubre 2019,20,14,0 mm,Despejado,6 Km/h,A Coruña
12 de octubre 2023,26,18,"0,1 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
12 de octubre 2022,20,14,0 mm,Cielo cubierto,22 Km/h,A Coruña
12 de octubre 2021,25,12,0 mm,Parcialmente nublado,22 Km/h,A Coruña
12 de octubre 2020,15,11,"0,6 mm",Cielo cubierto,18 Km/h,A Coruña
12 de octubre 2019,18,15,"0,1 mm",Cielo cubierto,21 Km/h,A Coruña
13 de octubre 2023,20,16,"6,4 mm",Ligeras precipitaciones,26 Km/h,A Coruña
13 de octubre 2022,19,13,0 mm,Nublado,9 Km/h,A Coruña
13 de octubre 2021,24,13,0 mm,Despejado,19 Km/h,A Coruña
13 de octubre 2020,15,13,"4,5 mm",Ligeras precipitaciones,16 Km/h,A Coruña
13 de octubre 2019,14,14,"30,3 mm",Fuertes lluvias,22 Km/h,A Coruña
14 de octubre 2023,18,14,"0,3 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
14 de octubre 2022,23,16,0 mm,Nublado,19 Km/h,A Coruña
14 de octubre 2021,21,13,0 mm,Cielo cubierto,9 Km/h,A Coruña
14 de octubre 2020,14,8,"5,3 mm",Ligeras precipitaciones,18 Km/h,A Coruña
14 de octubre 2019,14,12,"27,1 mm",Lluvias fuertes o moderadas,24 Km/h,A Coruña
15 de octubre 2023,16,14,"23,2 mm",Lluvia moderada,18 Km/h,A Coruña
15 de octubre 2022,17,14,"7,5 mm",Ligeras lluvias,16 Km/h,A Coruña
15 de octubre 2021,18,13,0 mm,Parcialmente nublado,10 Km/h,A Coruña
15 de octubre 2020,15,11,"3,6 mm",Ligeras precipitaciones,19 Km/h,A Coruña
15 de octubre 2019,16,13,"6,2 mm",Ligeras precipitaciones,31 Km/h,A Coruña
16 de octubre 2023,21,16,"5,8 mm",Ligeras lluvias,29 Km/h,A Coruña
16 de octubre 2022,18,14,"2,3 mm",Ligeras precipitaciones,27 Km/h,A Coruña
16 de octubre 2021,16,13,"1,5 mm",Llovizna,11 Km/h,A Coruña
16 de octubre 2020,15,9,0 mm,Cielo cubierto,12 Km/h,A Coruña
16 de octubre 2019,16,15,"32,4 mm",Fuertes lluvias,37 Km/h,A Coruña
17 de octubre 2023,20,18,"17,3 mm",Ligeras lluvias,44 Km/h,A Coruña
17 de octubre 2022,18,14,"4,9 mm",Ligeras precipitaciones,10 Km/h,A Coruña
17 de octubre 2021,19,14,"1,5 mm",Ligeras precipitaciones,13 Km/h,A Coruña
17 de octubre 2020,17,11,1 mm,Ligeras precipitaciones,13 Km/h,A Coruña
17 de octubre 2019,16,14,"4,8 mm",Ligeras precipitaciones,18 Km/h,A Coruña
18 de octubre 2023,19,16,"21,3 mm",Ligeras precipitaciones,35 Km/h,A Coruña
18 de octubre 2022,22,14,"0,6 mm",Ligeras precipitaciones,14 Km/h,A Coruña
18 de octubre 2021,21,16,0 mm,Cielo cubierto,16 Km/h,A Coruña
18 de octubre 2020,20,13,0 mm,Parcialmente nublado,12 Km/h,A Coruña
18 de octubre 2019,16,14,"12,3 mm",Lluvias fuertes o moderadas,21 Km/h,A Coruña
19 de octubre 2023,16,13,"14,1 mm",Ligeras precipitaciones,39 Km/h,A Coruña
19 de octubre 2022,16,15,"6,4 mm",Ligeras precipitaciones,27 Km/h,A Coruña
19 de octubre 2021,23,15,0 mm,Despejado,23 Km/h,A Coruña
19 de octubre 2020,19,10,"7,7 mm",Periodos de lluvia moderada,24 Km/h,A Coruña
19 de octubre 2019,14,12,"26,1 mm",Lluvia moderada,16 Km/h,A Coruña
20 de octubre 2023,15,12,"10,7 mm",Ligeras precipitaciones,49 Km/h,A Coruña
20 de octubre 2022,17,14,"3,6 mm",Ligeras lluvias,42 Km/h,A Coruña
20 de octubre 2021,20,15,"0,9 mm",Lluvia moderada a intervalos,28 Km/h,A Coruña
20 de octubre 2020,17,11,"4,3 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
20 de octubre 2019,14,12,"19,7 mm",Lluvias fuertes o moderadas,19 Km/h,A Coruña
21 de octubre 2023,15,11,"7,2 mm",Ligeras precipitaciones,24 Km/h,A Coruña
21 de octubre 2022,18,15,"0,3 mm",Lluvia moderada a intervalos,40 Km/h,A Coruña
21 de octubre 2021,16,12,"0,8 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
21 de octubre 2020,16,13,34 mm,Ligeras precipitaciones,21 Km/h,A Coruña
21 de octubre 2019,14,11,"12,5 mm",Lluvias fuertes o moderadas,16 Km/h,A Coruña
22 de octubre 2023,15,11,3 mm,Ligeras precipitaciones,15 Km/h,A Coruña
22 de octubre 2022,18,14,"2,7 mm",Lluvias con tormenta fuertes o moderadas en la región,27 Km/h,A Coruña
22 de octubre 2021,19,12,"0,1 mm",Nublado,22 Km/h,A Coruña
22 de octubre 2020,17,12,"0,1 mm",Parcialmente nublado,18 Km/h,A Coruña
22 de octubre 2019,15,11,0 mm,Despejado,22 Km/h,A Coruña
23 de octubre 2023,15,11,"15,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
23 de octubre 2022,16,12,"10,6 mm",Ligeras precipitaciones,42 Km/h,A Coruña
23 de octubre 2021,18,10,0 mm,Cielo cubierto,14 Km/h,A Coruña
23 de octubre 2020,15,12,5 mm,Ligeras precipitaciones,20 Km/h,A Coruña
23 de octubre 2019,14,12,"0,7 mm",Parcialmente nublado,16 Km/h,A Coruña
24 de octubre 2023,17,11,"9,0 mm",Ligeras precipitaciones,42 Km/h,A Coruña
24 de octubre 2022,18,14,"0,8 mm",Cielo cubierto,23 Km/h,A Coruña
24 de octubre 2021,18,10,"0,7 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
24 de octubre 2020,15,12,"1,6 mm",Nublado,31 Km/h,A Coruña
24 de octubre 2019,15,12,"13,2 mm",Lluvia moderada,16 Km/h,A Coruña
25 de octubre 2023,18,14,"7,8 mm",Ligeras precipitaciones,36 Km/h,A Coruña
25 de octubre 2022,18,14,"0,4 mm",Llovizna,28 Km/h,A Coruña
25 de octubre 2021,17,11,"0,1 mm",Parcialmente nublado,10 Km/h,A Coruña
25 de octubre 2020,12,11,34 mm,Lluvias fuertes o moderadas,27 Km/h,A Coruña
25 de octubre 2019,17,13,0 mm,Parcialmente nublado,19 Km/h,A Coruña
26 de octubre 2023,17,13,"38,3 mm",Lluvias fuertes o moderadas,32 Km/h,A Coruña
26 de octubre 2022,19,15,"0,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
26 de octubre 2021,18,11,0 mm,Despejado,9 Km/h,A Coruña
26 de octubre 2020,13,10,"18,8 mm",Lluvias fuertes o moderadas,21 Km/h,A Coruña
26 de octubre 2019,18,13,0 mm,Parcialmente nublado,16 Km/h,A Coruña
27 de octubre 2023,15,12,"16,1 mm",Lluvias fuertes o moderadas,30 Km/h,A Coruña
27 de octubre 2022,19,15,"1,9 mm",Lluvia moderada a intervalos,29 Km/h,A Coruña
27 de octubre 2021,20,12,0 mm,Despejado,11 Km/h,A Coruña
27 de octubre 2020,14,7,"8,1 mm",Ligeras lluvias,31 Km/h,A Coruña
27 de octubre 2019,19,15,"3,9 mm",Ligeras precipitaciones,17 Km/h,A Coruña
28 de octubre 2023,16,13,"26,5 mm",Lluvias con tormenta fuertes o moderadas en la región,49 Km/h,A Coruña
28 de octubre 2022,17,15,"13,9 mm",Ligeras precipitaciones,26 Km/h,A Coruña
28 de octubre 2021,18,11,"1,6 mm",Cielo cubierto,31 Km/h,A Coruña
28 de octubre 2020,15,10,"1,5 mm",Ligeras precipitaciones,19 Km/h,A Coruña
28 de octubre 2019,19,14,"2,7 mm",Ligeras precipitaciones,12 Km/h,A Coruña
29 de octubre 2023,14,11,"9,7 mm",Ligeras precipitaciones,33 Km/h,A Coruña
29 de octubre 2022,16,13,"14,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
29 de octubre 2021,15,13,"5,4 mm",Ligeras precipitaciones,20 Km/h,A Coruña
29 de octubre 2020,17,10,0 mm,Despejado,14 Km/h,A Coruña
29 de octubre 2019,18,15,"1,4 mm",Ligeras precipitaciones,11 Km/h,A Coruña
30 de octubre 2023,14,11,"16,8 mm",Ligeras precipitaciones,32 Km/h,A Coruña
30 de octubre 2022,18,13,0 mm,Parcialmente nublado,15 Km/h,A Coruña
30 de octubre 2021,17,12,"7,4 mm",Ligeras precipitaciones,18 Km/h,A Coruña
30 de octubre 2020,18,11,0 mm,Parcialmente nublado,15 Km/h,A Coruña
30 de octubre 2019,17,16,"12,9 mm",Lluvias fuertes o moderadas,15 Km/h,A Coruña
31 de octubre 2023,16,12,"4,8 mm",Ligeras precipitaciones,36 Km/h,A Coruña
31 de octubre 2022,15,12,"2,2 mm",Ligeras precipitaciones,15 Km/h,A Coruña
31 de octubre 2021,17,15,"3,3 mm",Ligeras precipitaciones,33 Km/h,A Coruña
31 de octubre 2020,18,16,"1,2 mm",Lluvia moderada a intervalos,28 Km/h,A Coruña
31 de octubre 2019,18,16,"7,3 mm",Lluvia moderada,15 Km/h,A Coruña
1 de noviembre 2023,16,12,"16,9 mm",Ligeras precipitaciones,56 Km/h,A Coruña
1 de noviembre 2022,16,10,0 mm,Nublado,17 Km/h,A Coruña
1 de noviembre 2021,16,12,"1,1 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
1 de noviembre 2020,18,15,"1,8 mm",Ligeras precipitaciones,23 Km/h,A Coruña
1 de noviembre 2019,17,16,13 mm,Lluvias fuertes o moderadas,24 Km/h,A Coruña
2 de noviembre 2023,15,10,13 mm,Ligeras precipitaciones,54 Km/h,A Coruña
2 de noviembre 2022,17,11,"0,3 mm",Nublado,18 Km/h,A Coruña
2 de noviembre 2021,14,12,"4,8 mm",Ligeras precipitaciones,28 Km/h,A Coruña
2 de noviembre 2020,17,11,16 mm,Ligeras precipitaciones,24 Km/h,A Coruña
2 de noviembre 2019,15,14,"7,3 mm",Ligeras precipitaciones,36 Km/h,A Coruña
3 de noviembre 2023,15,11,"13,4 mm",Ligeras precipitaciones,41 Km/h,A Coruña
3 de noviembre 2022,15,12,2 mm,Ligeras precipitaciones,35 Km/h,A Coruña
3 de noviembre 2021,13,10,"5,9 mm",Ligeras precipitaciones,22 Km/h,A Coruña
3 de noviembre 2020,12,6,2 mm,Ligeras precipitaciones,20 Km/h,A Coruña
3 de noviembre 2019,15,13,"11,3 mm",Ligeras precipitaciones,42 Km/h,A Coruña
4 de noviembre 2023,17,12,"22,1 mm",Ligeras precipitaciones,54 Km/h,A Coruña
4 de noviembre 2022,15,11,0 mm,Nublado,12 Km/h,A Coruña
4 de noviembre 2021,13,10,"4,1 mm",Ligeras precipitaciones,23 Km/h,A Coruña
4 de noviembre 2020,12,6,"3,9 mm",Ligeras precipitaciones,35 Km/h,A Coruña
4 de noviembre 2019,13,12,"15,7 mm",Lluvias fuertes o moderadas,34 Km/h,A Coruña
5 de noviembre 2023,13,11,"16,6 mm",Ligeras precipitaciones,38 Km/h,A Coruña
5 de noviembre 2022,16,9,0 mm,Cielo cubierto,15 Km/h,A Coruña
5 de noviembre 2021,13,10,"0,6 mm",Ligeras precipitaciones,20 Km/h,A Coruña
5 de noviembre 2020,16,9,0 mm,Parcialmente nublado,35 Km/h,A Coruña
5 de noviembre 2019,14,12,"17,6 mm",Lluvias fuertes o moderadas,31 Km/h,A Coruña
6 de noviembre 2023,13,10,"11,5 mm",Ligeras precipitaciones,30 Km/h,A Coruña
6 de noviembre 2022,18,13,"2,2 mm",Ligeras precipitaciones,20 Km/h,A Coruña
6 de noviembre 2021,15,8,0 mm,Despejado,21 Km/h,A Coruña
6 de noviembre 2020,17,12,"0,3 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
6 de noviembre 2019,14,12,"13,2 mm",Ligeras precipitaciones,20 Km/h,A Coruña
7 de noviembre 2023,13,10,"6,2 mm",Ligeras precipitaciones,29 Km/h,A Coruña
7 de noviembre 2022,16,13,"0,2 mm",Cielo cubierto,33 Km/h,A Coruña
7 de noviembre 2021,15,10,0 mm,Despejado,22 Km/h,A Coruña
7 de noviembre 2020,14,7,"16,7 mm",Lluvia moderada,23 Km/h,A Coruña
7 de noviembre 2019,11,10,"19,3 mm",Lluvias fuertes o moderadas,30 Km/h,A Coruña
8 de noviembre 2023,15,11,"21,2 mm",Lluvias con tormenta fuertes o moderadas en la región,33 Km/h,A Coruña
8 de noviembre 2022,16,13,"6,5 mm",Lluvias ligeras a intervalos,36 Km/h,A Coruña
8 de noviembre 2021,16,11,0 mm,Nublado,15 Km/h,A Coruña
8 de noviembre 2020,16,11,"12,4 mm",Ligeras precipitaciones,23 Km/h,A Coruña
8 de noviembre 2019,12,10,"17,6 mm",Lluvias fuertes o moderadas,26 Km/h,A Coruña
9 de noviembre 2023,13,11,"5,4 mm",Ligeras precipitaciones,28 Km/h,A Coruña
9 de noviembre 2022,15,12,"1,6 mm",Ligeras precipitaciones,15 Km/h,A Coruña
9 de noviembre 2021,19,11,0 mm,Despejado,20 Km/h,A Coruña
9 de noviembre 2020,15,12,"2,3 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
9 de noviembre 2019,13,10,"11,4 mm",Ligeras precipitaciones,23 Km/h,A Coruña
10 de noviembre 2023,15,12,"8,0 mm",Ligeras precipitaciones,21 Km/h,A Coruña
10 de noviembre 2022,20,11,0 mm,Despejado,10 Km/h,A Coruña
10 de noviembre 2021,19,10,0 mm,Despejado,18 Km/h,A Coruña
10 de noviembre 2020,16,10,"0,1 mm",Parcialmente nublado,12 Km/h,A Coruña
10 de noviembre 2019,11,9,"18,6 mm",Ligeras precipitaciones,25 Km/h,A Coruña
11 de noviembre 2023,16,15,"14,4 mm",Ligeras precipitaciones,34 Km/h,A Coruña
11 de noviembre 2022,21,12,0 mm,Despejado,11 Km/h,A Coruña
11 de noviembre 2021,17,8,0 mm,Despejado,10 Km/h,A Coruña
11 de noviembre 2020,15,11,"0,1 mm",Parcialmente nublado,26 Km/h,A Coruña
11 de noviembre 2019,14,11,"4,8 mm",Ligeras precipitaciones,22 Km/h,A Coruña
12 de noviembre 2023,18,15,"1,0 mm",Nublado,29 Km/h,A Coruña
12 de noviembre 2022,19,11,0 mm,Despejado,14 Km/h,A Coruña
12 de noviembre 2021,15,9,0 mm,Cielo cubierto,11 Km/h,A Coruña
12 de noviembre 2020,16,14,"0,6 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
12 de noviembre 2019,15,10,"33,7 mm",Fuertes lluvias,35 Km/h,A Coruña
13 de noviembre 2023,17,16,"29,4 mm",Ligeras precipitaciones,30 Km/h,A Coruña
13 de noviembre 2022,18,12,"1,8 mm",Ligeras lluvias,26 Km/h,A Coruña
13 de noviembre 2021,15,10,0 mm,Cielo cubierto,8 Km/h,A Coruña
13 de noviembre 2020,17,12,0 mm,Parcialmente nublado,14 Km/h,A Coruña
13 de noviembre 2019,13,11,"18,8 mm",Ligeras precipitaciones,34 Km/h,A Coruña
14 de noviembre 2023,16,13,"16,9 mm",Ligeras precipitaciones,32 Km/h,A Coruña
14 de noviembre 2022,15,11,1 mm,Nublado,26 Km/h,A Coruña
14 de noviembre 2021,17,9,0 mm,Despejado,23 Km/h,A Coruña
14 de noviembre 2020,16,13,"0,2 mm",Cielo cubierto,23 Km/h,A Coruña
14 de noviembre 2019,11,9,"26,5 mm",Lluvias fuertes o moderadas,53 Km/h,A Coruña
15 de noviembre 2023,16,11,"1,1 mm",Ligeras precipitaciones,21 Km/h,A Coruña
15 de noviembre 2022,15,13,"4,1 mm",Ligeras precipitaciones,38 Km/h,A Coruña
15 de noviembre 2021,15,10,0 mm,Nublado,22 Km/h,A Coruña
15 de noviembre 2020,15,13,"10,8 mm",Lluvia moderada,28 Km/h,A Coruña
15 de noviembre 2019,9,8,"18,8 mm",Lluvias fuertes o moderadas,41 Km/h,A Coruña
16 de noviembre 2023,17,13,"10,2 mm",Ligeras precipitaciones,25 Km/h,A Coruña
16 de noviembre 2022,16,12,"3,6 mm",Ligeras precipitaciones,34 Km/h,A Coruña
16 de noviembre 2021,16,10,0 mm,Parcialmente nublado,20 Km/h,A Coruña
16 de noviembre 2020,15,10,0 mm,Parcialmente nublado,7 Km/h,A Coruña
16 de noviembre 2019,10,4,"7,8 mm",Ligeras precipitaciones,24 Km/h,A Coruña
17 de noviembre 2023,17,10,0 mm,Despejado,12 Km/h,A Coruña
17 de noviembre 2022,14,11,"1,6 mm",Ligeras precipitaciones,27 Km/h,A Coruña
17 de noviembre 2021,16,10,0 mm,Nublado,23 Km/h,A Coruña
17 de noviembre 2020,18,11,"0,5 mm",Parcialmente nublado,15 Km/h,A Coruña
17 de noviembre 2019,11,8,"9,3 mm",Ligeras precipitaciones,26 Km/h,A Coruña
18 de noviembre 2023,17,12,"0,1 mm",Cielo cubierto,17 Km/h,A Coruña
18 de noviembre 2022,13,10,"2,5 mm",Ligeras precipitaciones,25 Km/h,A Coruña
18 de noviembre 2021,18,9,0 mm,Despejado,21 Km/h,A Coruña
18 de noviembre 2020,17,12,"11,7 mm",Ligeras precipitaciones,29 Km/h,A Coruña
18 de noviembre 2019,11,9,"9,4 mm",Lluvias fuertes o moderadas,16 Km/h,A Coruña
19 de noviembre 2023,16,14,"0,5 mm",Llovizna,13 Km/h,A Coruña
19 de noviembre 2022,13,10,"2,2 mm",Ligeras precipitaciones,24 Km/h,A Coruña
19 de noviembre 2021,17,8,0 mm,Despejado,10 Km/h,A Coruña
19 de noviembre 2020,13,10,"2,6 mm",Llovizna,24 Km/h,A Coruña
19 de noviembre 2019,11,9,"4,5 mm",Ligeras lluvias,19 Km/h,A Coruña
20 de noviembre 2023,13,11,"1,2 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
20 de noviembre 2022,14,11,"1,2 mm",Ligeras precipitaciones,18 Km/h,A Coruña
20 de noviembre 2021,18,9,0 mm,Despejado,10 Km/h,A Coruña
