23 de febrero 2023,8,6,"4,2 mm",Ligeras precipitaciones,33 Km/h,A Coruña
23 de febrero 2022,14,7,0 mm,Nublado,10 Km/h,A Coruña
23 de febrero 2021,15,9,0 mm,Parcialmente nublado,22 Km/h,A Coruña
23 de febrero 2020,16,10,0 mm,Despejado,7 Km/h,A Coruña
23 de febrero 2019,17,10,0 mm,Cielo cubierto,14 Km/h,A Coruña
24 de febrero 2023,8,4,"1,8 mm",Ligeras precipitaciones,15 Km/h,A Coruña
24 de febrero 2022,13,8,"0,1 mm",Cielo cubierto,29 Km/h,A Coruña
24 de febrero 2021,15,11,"1,7 mm",Nublado,23 Km/h,A Coruña
24 de febrero 2020,15,10,0 mm,Parcialmente nublado,18 Km/h,A Coruña
24 de febrero 2019,19,11,0 mm,Nublado,9 Km/h,A Coruña
25 de febrero 2023,10,5,"2,4 mm",Llovizna,24 Km/h,A Coruña
25 de febrero 2022,15,8,0 mm,Parcialmente nublado,30 Km/h,A Coruña
25 de febrero 2021,10,2,29 mm,Ligeras precipitaciones,32 Km/h,A Coruña
25 de febrero 2020,11,9,"13,4 mm",Lluvia moderada,19 Km/h,A Coruña
25 de febrero 2019,19,12,0 mm,Parcialmente nublado,8 Km/h,A Coruña
26 de febrero 2023,11,4,0 mm,Parcialmente nublado,27 Km/h,A Coruña
26 de febrero 2022,15,5,0 mm,Despejado,13 Km/h,A Coruña
26 de febrero 2021,14,9,0 mm,Nublado,24 Km/h,A Coruña
26 de febrero 2020,11,8,"1,4 mm",Ligeras precipitaciones,16 Km/h,A Coruña
26 de febrero 2019,20,12,0 mm,Despejado,9 Km/h,A Coruña
27 de febrero 2023,13,5,0 mm,Despejado,31 Km/h,A Coruña
27 de febrero 2022,13,9,0 mm,Parcialmente nublado,10 Km/h,A Coruña
27 de febrero 2021,14,10,0 mm,Parcialmente nublado,24 Km/h,A Coruña
27 de febrero 2020,14,9,"0,1 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
27 de febrero 2019,14,10,"0,5 mm",Cielo cubierto,17 Km/h,A Coruña
28 de febrero 2023,10,4,0 mm,Parcialmente nublado,27 Km/h,A Coruña
28 de febrero 2022,15,8,"0,6 mm",Cielo cubierto,11 Km/h,A Coruña
28 de febrero 2021,13,7,0 mm,Parcialmente nublado,24 Km/h,A Coruña
28 de febrero 2020,13,11,"13,5 mm",Lluvia moderada,34 Km/h,A Coruña
28 de febrero 2019,14,9,0 mm,Parcialmente nublado,14 Km/h,A Coruña
1 de marzo 2023,11,4,"0,1 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
1 de marzo 2022,14,10,"1,9 mm",Llovizna,19 Km/h,A Coruña
1 de marzo 2021,13,8,"6,2 mm",Ligeras precipitaciones,16 Km/h,A Coruña
1 de marzo 2020,11,9,"9,7 mm",Ligeras precipitaciones,39 Km/h,A Coruña
1 de marzo 2019,15,9,"0,5 mm",Llovizna,13 Km/h,A Coruña
2 de marzo 2023,14,2,0 mm,Despejado,17 Km/h,A Coruña
2 de marzo 2022,16,10,"1,3 mm",Llovizna,22 Km/h,A Coruña
2 de marzo 2021,12,9,"2,4 mm",Ligeras precipitaciones,22 Km/h,A Coruña
